TransactionID,Category,Product,TransactionDate,Quantity,Price,TotalValue,CustomerID,PaymentMethod,ShippingAddress,Email,OrderStatus,DiscountCode,PaymentAmount
46685257-bdd6-40fb-8667-1ad11c80317f,Electronics,Laptop,2024-09-05,4,419.75,1679.0,bc8960a9-23b8-41e9-b924-56de3eb13b90,Bank Transfer,"PSC 4577, Box 6004
APO AP 02637",elizabethjones@hotmail.com,Pending,,1679.0
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,Toys,Board Game,2024-06-27,3,238.37,715.11,4b0dbb41-8d52-48f1-942c-3fe860e7a113,PayPal,"983 Charles Trail
Morrisshire, DE 88548",martintracy@hall-yates.com,Pending,,43495.44
47294739-614f-43d7-99db-3ad0ddd1dfb2,Books,Cookbook,2024-03-31,3,458.6,1375.8,5d65a441-d588-42de-a2bc-372f7412b293,PayPal,"833 Dunn Road
Lake Holly, MS 76916",rpearson@stevens.org,Completed,,1375.8
2bcfbe01-a28d-4fe3-9bf0-027312476f57,Beauty,Perfume,2024-09-08,5,407.85,2039.25,29d4beef-3eab-4dcb-baa8-0dd488bd6407,,"PSC 8042, Box 0439
APO AA 07458",ogomez@gmail.com,Pending,,2039.25
ece66fa2-fd51-46e6-851b-4cf36123fdf7,Toys,Board Game,2024-06-28,3,95.73,287.19,3838b326-8e94-4239-b02b-61c4a3d70628,Bank Transfer,"64510 Dillon Run
Hallfurt, VT 13556",dariusdavis@yahoo.com,Completed,DISCOUNT89TN,
7fcd9eb1-a7ca-4415-b66e-b16f508ebad7,Fashion,Jacket,2024-10-05,1,400.88,400.88,a491f0b2-ea1f-4a65-a27a-984d654821d0,,"Unit 8404 Box 6084
DPO AE 20385",jacob89@hotmail.com,Pending,DISCOUNT48Hw,117684.44
ae849217-1d53-434b-b881-39b9ae270da7,Sports,Yoga Mat,2024-01-05,1,198.16,198.16,444ea7c8-c039-4710-8976-e334e2817efd,,"89752 Henry Dam Apt. 330
Durantown, MT 29671",tfoster@hotmail.com,Completed,,198.16
f8cda88b-436d-46e2-b83c-fe0be037e5ed,Health,Vitamins,2024-10-07,1,483.29,483.29,81f76d1c-2dbc-4134-830f-f46e8026695f,Bank Transfer,"998 Abigail Mission Suite 038
Terrellton, MS 68150",nicole16@gmail.com,Completed,,483.29
04fc6d82-7d15-4385-92fb-e43b99546eb4,Toys,Board Game,2024-01-01,1,124.65,124.65,e0f3eab0-5cec-4eb5-add9-68311ca35cfb,Credit Card,"98266 Hayes Fall
Garzaborough, NH 12321",djensen@yahoo.com,Completed,,
0ed42f1a-3d4c-4f37-8eb9-3effce88cb2d,Toys,Lego Set,2024-11-18,4,258.13,1032.52,f26b4776-913e-4de2-a0c5-3cb83da9c2a9,Credit Card,"111 Walters Corner
Acostahaven, GA 50135",andradeariana@taylor-dominguez.com,Pending,,1032.52
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,Books,Fiction Novel,2024-01-31,2,10.59,21.18,885f6e66-c2b6-42c5-ba5d-310011b7e948,Bank Transfer,"59222 Kayla Center
Parkermouth, SC 24185",brandonwatson@yahoo.com,Completed,,21.18
79ac1b1e-a8e5-4e0c-a0de-435d2031d750,Beauty,Shampoo,2024-10-24,2,254.26,508.52,43dac043-2a45-42ab-8cbf-edb0f264accc,PayPal,"09407 Foley Plains
New Nicolebury, OR 86939",michealrodriguez@martin.com,Completed,,508.52
4fcca39a-b683-42e6-b37e-a2dfb09b2a5c,Health,Bandages,2024-10-10,4,,617.88,a65e688e-abf3-4d39-bec2-1bbe66245bfa,Credit Card,"1016 Evan Haven Apt. 795
North Kaylamouth, MS 09370",sandra66@gmail.com,Pending,,617.88
7394988f-847f-49b4-a64d-1bcb702753a1,Electronics,Headphones,2024-05-25,1,,307.14,1064005c-3985-43cf-bf76-be1d1efa2197,PayPal,"7214 Rose Pine
Lake Jason, CT 75391",karen43@yahoo.com,Pending,,307.14
114125c6-3a9b-4dd4-8f12-59e0a18ff6b6,Beauty,Perfume,2024-10-01,2,270.3,540.6,5496f63c-dc11-40c1-880a-adfbe7c99b26,Credit Card,"93430 Andrew Road Apt. 396
Williamsstad, SC 28332",connerkevin@gmail.com,Completed,,540.6
ab4220a7-474a-493b-bced-df2d839fbc50,Health,Protein Powder,2024-01-28,4,320.45,1281.8,21df306f-8a0b-4c33-b6d8-393a7c441fe7,PayPal,"441 Evans Plaza
Katieville, MA 45243",karensanchez@hotmail.com,Refunded,,1281.8
18d0752b-1825-4c54-b0be-b45f683514f2,Health,Bandages,2024-11-09,2,442.02,884.04,6c6fa611-5ab3-4edf-ae59-5ed3a8b317fa,PayPal,"084 Peters Brook Apt. 955
East Juantown, MS 82619",hbaker@hotmail.com,Completed,,884.04
